address,spamcount,txcount
0x1Fb951a46Cc6777264DD39e6c7b57ee837E06E67,45,45
0x0f424096a73F0Cddb585cc6646291C0CCf128a6e,1,1
0x0f42406c7784A6A8d4B0568e0CFB55fD23793B62,1,1
0x0f42405D6631F85d37cD908Bf43745f6B81D384F,1,1
0x0f424091Cc137977FA9eF7C0B04C51726bbbbe16,1,1
0xec78a6E6Ecee23F16597b1889EB589573Aae8EcF,1,1
0x11ab72CbB42E24310F269c48F9d8355e437E3F63,1,1
0xe7F0D50d3Ad7680f23252261C12dae60193a74f2,1,1
0xD4D4bA57C6c0159E8cd508434251D9F7C3Ea2064,1,1
0x2c134C662A6c414b873f39439f7831D70d065d2E,1,1
0xC156B409E8332c870F496C038585540e7260d79c,1,1
0x22DDCDE1a5C41F033a6846d3322D91F6FB35755b,1,1
0xcc1a7F4Ab09E66815f9b61759671048CcA30E563,1,1
0x6Fa45b4116F6815774FafA87eaB892A30d71d2Ce,1,1
0xB6E63Cc6c2e1b541845d93A04c8d9b038341cf92,1,1
0xcCeA245B9690E5614833Cb4B6F586ad4de9F7ac1,1,1
0x75E62A9b3037DE2Db190c44C09AfbEedC125623b,1,1
0x0f0d645680e989D1f63167F7395acd17B3dC1B71,1,1
0x2a21BCd5e17cde58069cB25Ff4878b02e6c7ed73,1,1
0xAB24068603f35A5bb8fbb503ef8DFDb09b36B191,1,1
0x9cc91b97E30c2dBB6f1041Af826EdB07e98a1A6d,1,1
0x56098df80BD3ac3742818d7BdbDf5C291e8AD5eB,1,1
0x869E41F4795D6cfD18B8A389c718265f8FFF9d48,1,1
0xd525BD9d912F77e37eF34BFeA72213a181ABd057,1,1
0xBA576aEAde60BaDc6F53B994d4AD8CE97A260344,1,1
0x510617199b9b0Ffa0dEcaD97f425dCdB46d277C3,1,1
0x36b94C25Eb12fE5d2B76BC5b9B3BEE48Fa4F1E59,1,1
0xe3013d5a98c3b572c9A8ddEED6EFFEeF7299f531,1,1
0xA4eeE432246e9Ff33EFCc865d651fC7c8191b4FF,1,1
0x367a3c2fed9D5890025364B9cD5a6532127B2A9d,1,1
0xCBA1a6be4754aC39Ae70CEfFE30AFe97F263f03e,1,1
0xc0AAF5e95aAcc3A9D946d7e3597b197744EF1264,1,1
0xE987e6CDE19181B8b86a3266F0C69C809Be40AD7,1,1
0x784f281917e986c80F1bf6e0042d237DBC7A70df,1,1
0x95eE758150357ADD5F6a55B8cC53Cb4739126771,1,1
0x105A9E887636e7038372259159244698e04D464e,1,1
0x4c03452313715E4C98Bf25E9e9810f9e28267537,1,1
0x66537f174a07bdEeBf2CdF7CeF96a9EDb27B6D28,1,1
0x0828DCF0aE45f46ee297edb4e24D872eC468eF9d,1,1
0x9c2395dA8A501f3f914f559C3bC7E9DD06Ef5b0e,1,1
0xD41905D28534C628519c8525c3Efb31f1EAb8992,1,1
0x9217CB738d9DE898D6FF8fDF306500Acaa994FB3,1,1
0xD4BbCAd90BD7a1a9b875B0626DEa6CE4A373dcE7,1,1
0x0f42405fe8D53a29656cFE1295DC9CB03d603A50,1,1
0xF646b1Fe3296e8E060cF1A732C45b072849eCecD,1,1
0xb415A403779b964f4015606F419634c7BC249333,1,1
0xEC14bBacC24CE3F02aE9F340140ec09dD4530396,1,1
0x72365b8De2Fbe7fA61D95204c83923e05ECdc16f,1,1
0xe5D8e03FAD7e3BE92A298203Face23444174a986,1,1
0x6b39D0d92A279cdEa26924D274299ac9Ec53a1B4,1,1
0xDda1d9577d9c8529A6F74c6c1154f9f7E93D6D0b,1,1
0x0f424016E5384B2F0b3cEc726477Eb15B0346e41,1,1
0x02649ce582a33202C45B4da5a58d62c8010066ac,1,1
0x0f4240AA6938521bdF2501Db5c2A7c399b3AAC1e,1,1
0x5575C5914d927fE23c3E20986A513feC6c6639da,1,1
0x090a23fE7CED479ad0Ff70945747B74649B933a0,1,1
0xB69eb4cd19948951d43B0d25491273b63036f3ac,1,1
0x0f42409049291c11904816AB37A5C5BD97eC48b3,1,1
0x17D5a762c241eC1562FCa44bE755822ca83DD2cB,1,1
0x0f4240Eb1B283655c9D6719eAAA5f7932e43A29B,1,1
0x36C23DfD4C7D2A5B300C08A1Ee05b6E8D14735d2,1,1
0x0f4240A45920c1116c0A4E8817200477d1E92F71,1,1
0xc5dCBF1FBccbA483b911eD2249ceB8F95390b6C3,1,1
0x0f4240c02444e873955cC801eF6BD0b3482D6C85,1,1
0x25D9d3581B01ab1C471D4b856f2634c9beD17A11,1,1
0x375f9999070d1da6cf7Aa27fD54be5a4D54E89BE,1,1
0x334Cd8e385ce09cB17a9689CD644C500Ed8f3e66,1,1
0x0f424083dd3f598df37388a90dD9E24D13465BF1,1,1
0x5b2220fC124Fc87558917aB65119bFEDdA18b280,1,1
0x0f42407D64a244A954327CD7bA8bB6048FE389bA,1,1
0x57Bb4F83Bdd35C803F3104CF72B2d2b9944b5aaE,1,1
0x0f42406ebBb2ECB429C1F55831ed9C08bBEa3475,1,1
0x3232716BDe5d42f8AeA671a973aC977A4b3F9845,1,1
0x0f4240d94E6EFfAc2e179586dfF51332D140ffF3,1,1
0x57aEe10c408DA385FA1B4b162456757f3e5ECa2f,1,1
0x52c2445fe5540a6A793225A34d4618AE06373149,1,2
0x0705dafe366Fa41D2d85a86A7a07D00D3c76caC3,1,1
0x0f4240eDEF1F76A519750129F1E24257B0bb8531,1,1
0x750DB3c6AA28fa6638A0cF55Ec0aCcf372BE6B78,1,1
0x0f4240F432A7704cAB90ddc7224B23823eA2ED79,1,1
0xBEDF272A56E850D1A3ccB8a55934f4662C5e9530,1,1
0x0f4240AF72A970f1571f4a90bE5873F036B75ac5,1,1
0xce452Bbf53bFb6eac219364675424dA48B440fda,1,1
0x72d913D1cB0331e2C58FedAbb3036080711F70Ea,1,1
0xF8D2fdb6483C6c81c9F8CdDd6A18D8fF49F912B6,1,1
0xC2653fb87f5E300680C46b18BAB5218e7535b261,1,1
0x3D3F77b2cA5108eca4808eF75191424C46163966,1,1
0x0f4240AFBDB3e6366052d186387efedEfa7aD760,1,1
0xa97fb8d0334E0F8bDca44d122102a2094644694c,1,1
0xa87FCD1621253060c8981E5A97b09f080ADC7266,1,1
0xfebbA56Df18122f803BEc1dA690397E1C434d3A9,1,1
0xF96ACCefd91f6D56586A86A10d4195ca417a9CD2,1,1
0x98BBcf78F1cb725C27e61bB6cbd9E8a75242Bb45,1,1
0x2dd100B0beE363b0c6BE1ed3cC79Bfd8B96Bc882,1,1
0x8E0E94a106315b6E70250DdB97383CD38A5dbCDC,1,1
0x0f4240Cb727d0DCd0F7F7E21FB8108F337C6f401,1,1
0xcAe531dFd3e6A5ff6B6d0720476F67C7C4e5dC6b,1,1
0xD12f6bFEd5a4Ae61765e46ebD643175e58636f36,1,1
0xB1401101861ddBc507b955d21b8ffCfCfC647929,1,1
0x0f42409dae4487B37164f633F7f46e9518d8af82,1,1
0xC630E7DA04fbE392B7f2A298eB62329CD4eEBa7f,1,1
0x0f4240250fbf5264acc2A8F7234c40dbCE94A72D,1,1
0x15Eb3316fe3088CFAe7961c45E21B0341F423F32,1,1
0x61210F4Bd44c662981CA8bC1C0BE2C103e221ff7,1,1
0x0f42409ACfaCECD60361415e02201cC93D5A6063,1,1
0x0f42408AA95C5eF56451CC1955d846bC5CcF6DC5,1,1
0x0f42406F168dfc958E251001C31ad0a7Ad29632B,1,1
0x33463f3eE87D2D2Bb828E32Ac8ef3969f42Bf2B6,1,1
0x0f42402D1B4e529B85F3FD6b390eCdb344c3fD28,1,1
0x302F70390E0C00Bd707995ffde51a90e14b80556,1,1
0x27752822527a13d2E828d6e1829e440FB64536Ac,1,1
0x0f4240195bacb7213bd1C6E56ae7bc43a3D4DD53,1,1
0x0f4240e4325a5C62FE0d707A71AF29C0cc5ECDa5,1,1
0x6f47E330E29BE4660A997F708B6FBE4A2B82e7EF,1,1
0x0f4240c342cF08E4C81Ef149B40E131Ce6010219,1,1
0x0f4240a7AD7926BBa52AA6663E55E86A4380ed47,1,1
0xfc2D1739a694EA8157287DdC3F59FA73730372Ad,1,1
0x0f424061dAB2E21476952B0CE937345129e46dF5,1,1
0x0f424029ac93E6495a87aEA2109048b8CE3d475d,1,1
0x3F28380D571370c5f91f2836B6D3d4faF81E9411,1,1
0x99f312A2337Bd7790722fB3b480336345789093b,1,1
0x0f4240627209B46Afd43d35Cf359f40c4EcA694f,1,1
0xC668a9b6e7Be560084b8241569abfDbF8988484d,1,1
0x1149Ebb12A5cb91664bEA677ac8598fd1DEf6d44,1,1
0x88497f568953C6f2737dC4c4bc78Bc04bD15e107,1,1
0x0f42401DDB07c16C1E2A5077D05bf3D500b0cA22,1,1
0x3eBf1B4b795B314D82907437E521504DD6CbDf35,1,1
0x0f424057501be024803FCfaE259aA3672a6fE5a0,1,1
0x027EF8c33e80A6135F9866d38F083FF1F320d9F9,1,1
0x0f42409E9e85093Fbf54243BCC91E2d207379C71,1,1
0xB781C124FfEF9a7A379b58a28ccFa97249B7F1C7,1,1
0x0f42406F9b4D7a5282de3f39e96011f980bF3a6C,1,1
0xBF7A85F6B54Bb3A54F982DB950F4380a92a73820,1,1
0x3526218c66cb480CB0C2db6F09497A462AC7014d,1,1
0xb533E342C8b8CF1837aB568C5DF1B48239903930,1,1
0x0f42401523e0A646faAE6fa578216087ef97293d,1,1
0x58D30fc2Fbc157FA51a42Cb66BAef30346CdF67d,1,1
0x70c920DdA9ceF3Aec884A218660dfB39ad0cFA6F,1,1
0x2B3e51012eFA64D1Fd37E30B57e9A54a14e97055,1,1
0x0f42401828222f69f0fFAa3B24053228f5AddedA,1,1
0xd387B65aB7A0BA0e9c234205fE4e8b574a2E5C55,1,1
0x0f4240f3510EA99b9D498662470a1A80e657Dd97,1,1
0xf65Ccab91B214143F33E9453cc100189d3a01594,1,1
0x0f4240CdB83afb13dfa085273cb3E90307BCa8c8,1,1
0x44Ec3875C5eAD42b99AAc40E453f7Cad7da650af,1,1
0x0f4240F508EFfE8B1595C4CAaEFE840F872744A4,1,1
