contract,numTransactions
0x95c14E2F6C7CE7520047738065808e722719bc97,79
0x65b09b12bF46f364F68F5bFF0bfC5d8b54368971,66
0x3A9BD1a817C39F3ed1E5Dd841aCA2d76BFCD6A74,35
0xB78d90d76314b9E2F67407BC67CB8845A792395e,12
0x1Be9b835f34B6D01Ad1AB8BEB5e40A9c4f160D82,9
0xbA863086C93fb97Ae74225931995b1206B7Fde60,8
0x820ef56b0817edf37353bd5E8BeD25f35B310cb3,8
0x130dfa0A39d257A4604BcEe51853ee045bF08869,7
0xdE9f4F501E745b3dDF7ef793461B399878a88937,2
0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,1
