block,rate,spam,total
30748827,8,4,50
30748828,7,4,58
30748829,5,3,60
30748830,5,3,61
30748831,18,10,57
30748832,55,189,343
30748833,8,4,53
30748834,6,2,36
30748835,9,4,47
30748836,8,4,51
