address,spamcount,txcount
0x1Fb951a46Cc6777264DD39e6c7b57ee837E06E67,35,35
0x0f4240e7fa91ADC1FBDCF5Bc27cFf2f50EdB4444,1,1
0xa1A0d1c6Dd5dFb39B7ceE691bA395F44a3731896,1,1
0x0f4240c3EfAA32EeD55eB6C48C1cA352EC908Fec,1,1
0x591bd0AaeAAB407ACBcDC51FdaA44E19fb8e761C,1,1
0x0f42404Cb22b08972D465a586f6C80c0b48D6707,1,1
0x04262Bf2D79BD6e9838f9901b0639bAFEc752292,1,1
0x0f4240A4786753EEeA7CAEd6cf578BDA1fB7d20a,1,1
0x57025B3e1B0C7585d70655eeA56DE64a4656b4E7,1,1
0x0f4240F508EFfE8B1595C4CAaEFE840F872744A4,1,1
0xA4eeE432246e9Ff33EFCc865d651fC7c8191b4FF,1,1
0x0f424082F123D104b5372f7ddaDE2f8593c181Dc,1,1
0xed9Fd4E0B385b1BCaF84BBC775ed68dFb449aFEB,1,1
0x431D8Fa0e5D0827e2020666d776618F8bffBc99f,1,2
0xb45CD628d64F830974DD65eA1D3F08F6637eFCFB,1,1
0x0f4240EEAb046d9e594B3439e4a48287178A1062,1,1
0x241149D0D68cb71AAF4BaE964d4bA6D3F73D099e,1,1
0x8196A3aB574C1C88d5c6bA08c4CD03E9Cad4686E,1,2
0xDda1d9577d9c8529A6F74c6c1154f9f7E93D6D0b,1,1
0x0f42404e33d9C3c971B18c4ECf552A4E1da9791A,1,1
0xbe6cDEC4C23e31a08BE83B8851d765a8C331E3dC,1,1
0x0f424004e9622477fA89de1EC13972DE16F38fb5,1,1
0xf3cD0b04c67A35981fe49a023e0eB81D5eaB9A6d,1,1
0x0f424044122304813Ccc755B52C3d428394D570A,1,1
0x12CC2774B23fB9738FA81277ED6c8b9cd05F5Ae7,1,1
0x0f4240AD73ab486E20E8b6784bdd5ee41FC07aDB,1,1
0x4b0eF10bF1259bdF734ccC448fa3E6AFA90370f9,1,1
0x0f4240f546864deB3Ce50A92ef812BD7aA0f7576,1,1
0xB8e67F3CB6e1a454474Cc8dCEE81bEd9c667A66F,1,1
0x0f4240d528E0d80C27b11D3c918bE25612768152,1,1
0xE09C60b1D7F82f7E9c519C5DCC105862d03E7092,1,1
0x0f4240ad6C9b32526264742b0e8ddAb3443548AA,1,1
0x36aF3f7dA36BF5073760347b49D822Fd02cb195C,1,1
0x0f42403465Fa230E73708Fd5fEb76024b635de04,1,1
0x3232716BDe5d42f8AeA671a973aC977A4b3F9845,1,1
0x0f42409c1F3BeF512EbA050a3962d3296eD44CD7,1,1
0x2B3e51012eFA64D1Fd37E30B57e9A54a14e97055,1,1
0x0f42402Db43E6126c032E2B2e94eE3601D5d1036,1,1
0x7b703da7d07ca7C0C8422acE8Faec7bf3754E056,1,1
0xB510262156DD2af9aA0A6C73387e4dd07F0e112d,1,1
0x23A1DD3826FdD4Bc03f44B172b75A8Ad0eA25aD5,1,1
0x071f3E89cd372E42A9CaBcA3365899D0aB0A1392,1,1
0x7F1Bb360F96bDb3a3aE4E3F39234d123F3b12675,1,1
0x0f424006d8402d9464530AC9d84015400cd6415F,1,1
0x0f42404D76cEeedaE444BD959Fd1Ff17E10b5eFA,1,1
0xA010b4186372850d97754C6f52e929F3487dd66E,1,1
0x0f42401D3F3a889A3B9296faBc3976fd620A505f,1,1
0xc6e21683005548b70D5aDa76dFc94F8D040106eA,1,1
0x0f4240990a094136E735d11aA19D8Dd8Ee6F153e,1,1
0xbe7f390Dc61823892Ee8e7609956E4C0eF96489D,1,1
0x30C16515CaA3c1c6a2DF0397362843F4E2d3238f,1,1
0x4e75aC1a84ddBc3C2570C510D0257f3b951790B9,1,1
0xe830de654BF2E0aFa1Ffd15508F8b2E55216C08a,1,1
0x857d0C274511518fd1caA3873384b85029bd6b97,1,1
0x14ffda4d3B331C0f284267283517048F82561c68,1,1
0x3471d575D4f3b598310102D0FC8C1332221a156C,1,1
0x0f4240D7a47257510A2160Bf2b249d2897234126,1,1
0x4c03452313715E4C98Bf25E9e9810f9e28267537,1,1
0x46dADfc49a69AACF4c63DcbFF02447560c43af81,1,1
0xF594a41EDB610938a48E9E6234b4413cD3A18b8b,1,1
0xaBb4eE159C9937ab9364A45097BDC4117cDB93e6,1,1
0x430Cc4eebd99348EaFe1848E1acF75f24f1Fc6dC,1,1
0x0f42409bc4008a9265D3aaDcBbF9BB8dDA96933A,1,1
0xd7Af623Cab80b39310F3340210BcB4fd515be221,1,1
0x0f4240abeb743E082eD08671c72FbF49E6d6E2a9,1,1
0x5a398977Bc5b123652fBbc83F0c8a9E9d5Ac7424,1,1
0xb3F7721176fE85AF26cd6628953fE247c51aE85d,1,1
0xd7F62641aC6541D750F434EEEC5a75a530fC6788,1,1
0xE7c378c5A1899bA1a29771D24C3B0d248D8af5BB,1,1
0x21fa1B512Ac2A2be2e817C3DFf6CD7d613e43b0B,1,1
0xCc23d69d5c4a061576CA223A6b627c2049Ec7B8B,1,1
0x754D937B24268Db2844b802eFafEb0De1dc2f9fA,1,1
0xFA969aC8A40e4Bf7c4418C4456e286eC66B724d0,1,1
0x6bdbD0A98CfEa8E401a2F7fF69513F2E9dfDd118,1,1
0x626dD619c41cA9b59d7622a4615DB12d67C90100,1,1
0x5B4e63f37F0c0533E77e53944546c5dDc180625A,1,1
0x3EB32C83AAA29796F1dd0897e1016D225cEb9b59,1,1
0xc3Cf2C3f3B055ef241527B1564Ac2f20ef8fD779,1,1
0xd253c1e10618B6eff65DD3dd71C39ff706434677,1,1
0x0f424005aA9D0412D63E3abD8C29FD5Ac7a53D5b,1,1
0xF2aD697d110C14e40CD304926Aa6a28c1749eeA8,1,1
0x68Da6fCDa954a39bf2b1267A4168060DEC2fe615,1,1
0x464fe9078D245079973c0037cbFE051aBC19A720,1,1
0x0f4240DC91365cf720fdf285e6cc355A4e9e5987,1,1
0x5d21e90F3B0742D85301b412cB6930AC26694245,1,1
0x0f4240fe96F71a1ad3F7Ae690633B3615b47B454,1,1
0x892CA01f0d711784Da20E5590Ea45bb8B4511F1b,1,1
0x16715F5a90Ef467973Dd9253848C968423fb171b,1,1
0x0f42404c793549cabD6920A43c71c2a0Fa1768a8,1,1
0x2D3Bb977916c80d4c006065f78da12152138D808,1,1
0x1FEDbE6c8Bf6F018755F05B9312828279F634A74,1,1
0x0f42401b2dada354D832e7690077Ee6C7FBa5718,1,1
0x62F22e206694FDe13b1DEC1a7EB388e6917EB5fE,1,1
0xE7aC5993bc396EcC38BEc0Df55d9B2e671246dbC,1,1
0x0f42401523e0A646faAE6fa578216087ef97293d,1,1
0x3e6027E340eD6B87eBa3a5BBDf9b00c2ac1F8F81,1,1
0x0f4240bc3Cd7f57d2EA1C1d331dd4456748DCEA2,1,1
0x793c946aaf0876EB901e5B631a529C44bDf894F0,1,1
0xBA576aEAde60BaDc6F53B994d4AD8CE97A260344,1,1
0xc4896729312bc96817bbc33C4bE3D4941b9CaCa4,1,1
0x2aF70d427A7B510f8b7c2DB9976Ed21Cab7aC3c5,1,1
0x66aF7D0F1033507715C361d0419Bb2FeF2c337C8,1,1
0x4e2Ff9aE151D0e59AcDe79fdC94Ac6eE6Fcc0B26,1,1
0x0f424038105e4Bc9BaA1592cfA9b6bEcE5084037,1,1
0x5C49b20B3FD9c16ef03d3D24BD755033b3497663,1,1
0x0f4240eE59Dff70D909b7823fd68627Bf3dC185D,1,1
0xBE3652C95b1fdfaA7598b79a33F4090B9497dc05,1,1
0x3aAd7CEc86659c70b372DA303bb4E0ff7B75A418,1,1
0x73D9fBDF6B5891548926005717d981e782AB14a7,1,1
0x08D8B893bd1152478374b838B0427D89F6F481B1,1,1
0xbdd744E0892baa0755D5d12FcF1307D72d3176B3,1,1
0x0f4240bD5Ab82B48114cb177532E5f488A2c8bCe,1,1
0x895fAD966129Da0e98B7bF9ee318ae0BA06C3eCE,1,1
0xCEc1542A9d445CF26cB61C0D0Ca98DCc61F207d4,1,1
0x0828DCF0aE45f46ee297edb4e24D872eC468eF9d,1,1
0xa32545fb08b09fb43E6F60cbc26397800f33acC2,1,1
0x99E60C46139a22f3492eD4F39c1cE0E10f3dCB50,1,1
0x54A17729e85eF4D988041b4d90e658d4B8fc3DAF,1,1
0x0f424030A613A865a512f0FD0dAcab4DbB05A847,1,1
0xBFBb0135732165958bcb37FE798eE1729AfE964F,1,1
0xb4C8A35222ACC973E2fECb7e42A1336e2DE17Ea6,1,1
0x88888CF840E3C269c46FeDDD856a8fe8675aA236,1,1
0x7B8e29761BF79A7F40962D28AC6a7ba808b5fb9A,1,1
0x0f4240Ad60e96974de0C403754eB528037A788BB,1,1
0x0f4240195dC587532811CD3368f74941aD8235d1,1,1
0xd26Fa49F74B001f0695257A7822E8F8197b22db9,1,1
0x83a37967D3f25bdD785A32BB5C7EC1fC06A6F011,1,1
0xe2Ae67Ec16Dd4Da76BBC2eAD96AFc51F19C223b3,1,1
0xE6d31497EF8085c8af29f26B4f737BB5013690fC,1,1
0x0f42406D2f23d6302390CDF5883f4a9C13e7e6a7,1,1
0x781815477ac845Ba60EC4946985e714DBBe30f33,1,1
0x0f42400E4614d1430412eeD91482275F6967627d,1,1
0x0f424062c6312c234e9bC1B335eA4dD42E11A7EE,1,1
0x0f4240Bdd412A3162E1b6a832cDd45D177d9a945,1,1
0x0f42407d199acc596ab2e679DD4310E6607CfDBb,1,1
0x0f4240211f06E1387E2C4083A24e8fF14BAaA337,1,1
0x0f4240091F601066946892A9B1F6d5E7CA16c17d,1,1
0x0f4240E955ccDF7639a77dc9D6F0967beed4bEfc,1,1
0xcFe19D095A133B99f0B06622138C9AB9dc975685,1,1
0x0f42402e061E5Ad1Aed77E57dC4DDd19B3E6787b,1,1
0x18715b1AD0D2666364b75B0aBB81b70e6D478ae2,1,1
0x0f42402D959Ab785dE82185c0462b5D421DDabc7,1,1
0x34b5D00a964447Bdb34AaA7206F1073045C99B71,1,1
0x0f42404088A06949Cba392b216B521CeF364ac2c,1,1
0x0f42401DDB07c16C1E2A5077D05bf3D500b0cA22,1,1
0x8840Daf3D8C398f3fDd76B718ba6c1f1D58C6ec6,1,1
0x36C23DfD4C7D2A5B300C08A1Ee05b6E8D14735d2,1,1
0x0f4240E5d9458D7de88A3BFb8394c146107162C1,1,1
0x0f424091E875d4142EbE4ec85654307a9151Eea0,1,1
0x0f42400dD29D6BdCc2D706Bdfd573Bde0c99be1a,1,1
0x51459FBA8d0e1A759F224e60fA208256C5cC2753,1,1
0x0f42406809Bb991D1529BbE455f8e026A8255D01,1,1
0x06cBd80B9D639E3Fd2d10955FFd1DB99207C8020,1,1
0x0f4240c73594A4BCF5aAA39138232bBC399743d4,1,1
0x5B3aC1359dE21641DAF85C5CEAB1aA28De22975d,1,1
0x0f42402267519A821c2A13a8E2eaF84130547E48,1,1
0x0f424035BCE264A85383f8aE5775DB009869EBa7,1,1
0x0f4240462Dc1152929DCbF913DDCb1F5bD50104A,1,1
0x0f42406B09B22F7a329101ff8A76a93f08eD3a95,1,1
0xbEf9fDA4FD0C80f42315b0E3B96F26A370e4293a,1,1
0x0f4240f65dE2bfecb255Ead799a9C18Cb9A24ade,1,1
0xEAeB661e6b92CCF6B7F50659fD5Adcd4db70160C,1,1
0x0B17E1C1C0B7199F17944DB5De01aAb5E470a1be,1,1
0x0f424030F604d6C602F1Ace1c28cE3d9aeEB559E,1,1
0x86b752b0EC343B2f1221d73B41FE4C6fa238D7f1,1,1
0x47f54770D5032B710d19F9ee52fC2e713A82022a,1,1
0x0f4240616deC251F490E3E1B6896e39093955B80,1,1
0x83715b2D419a3B7b5a02998873ECD5e9B399B3F7,1,1
0x0f42401287CAF0e28BB8B64F4Dac9943D1295AD1,1,1
0x3824076cFdd8E14FB2c919ef1391061f84FF8906,1,1
0x57aEe10c408DA385FA1B4b162456757f3e5ECa2f,1,1
0xf3d69cc1bf9981D096C61a8194Cb1123bCae688f,1,1
0x80494996D149BD48715FE45Db5483e3d9D58b00B,1,1
0x3FF680B4e9BeD9ab8BaAB1E5CB2ca49c25A0E1F3,1,1
0x601c175e618D5b8daE63925445966398E8A9f5f6,1,1
0x0f42403ca48c3F1bc4A1c1F2e27AD38b2b9f2E0B,1,1
0x5AB8F200a95BB6E31983634C4c230aEd70935a42,1,1
0x0f4240E40E53ec764467A838034cAecF52895991,1,1
0xb794E9403E6c5bD4b1849288a65b4975f3CDE53D,1,1
0x5b117528370112F4D553da18c25Ba2586525E610,1,1
0xD4BbCAd90BD7a1a9b875B0626DEa6CE4A373dcE7,1,1
0x4401aF2B8b91e09556327acA47A96aFa4dC3fb02,1,1
0x98a6F0809DCA8D0F6F2AeDeD29Fe9276bC1ad86C,1,1
0x51Ad640A3405055193A499b1Ae806b6d31Af0327,1,1
0x0f4240ecE2B1642555c80703f65552863e7007Ae,1,1
0x55B020Faa6d2a0c0d78F14cD43a167d5657b5Cb5,1,1
0xD5078bFecab2CC4F0B1A47E8cA5159Afa0f0B02F,1,1
0xFfA13C2040cf13Adb7Dc66C3E4aCafe2c5E9CD62,1,1
0x7c3adcC7b3e0b42E818d613C1aD7B0759428516F,1,1
0xaF39ca3BA17359A73860f36580Dcc78A7d231037,1,1
0xA740A48F9C76F7eFec8015D9a1E8d1A646C2beDC,1,1
0x0f42402D4b4Dd65939E0256de6d49430D8209b56,1,1
0xf1539598Bb809972B99B5F9b4F8bC75e259ABFE2,1,1
0xEa8026d9E01bC18Cfa868e855026E6B065B8B5c0,0,1
0x9d7C3CD6325c7CB762d19416ca548d68FD6eb1a9,0,1
0x983cD18eD6D501E6e01285F2a06df0767FB7297f,0,4
0x3CE07ad298ee2b3aAbEA8c8b3F496C3ACc51e647,0,10
0xad9AC7E6213eb026B55D578cbb71CD15A4F677d7,0,1
0x6E52d2d4734e040BeE6Cf4FB5544Baa350546226,0,1
0x6eD552E6fB6AaFD2Af0B30857705F1986869DE3d,0,6
0xd682b63B9E62f3362973D79d49d7d4F51D3412a9,0,1
0x9a623d3A321b42d0fBd238816c40581d8a2C767B,0,1
