address,spamcount,txcount
0x1Fb951a46Cc6777264DD39e6c7b57ee837E06E67,11,11
0x7D257F1BCCE80d44dCa0a03dc3c2a19F42883E56,5,5
0xb604A14A22F05AEC570D49ca6680216e07B3Daba,4,4
0x19CD86b52ab86D266EE97424ADbD7DF413C6Fe90,2,2
0x2718269ae47c4C58d75b25f8202d28BbABea81b3,1,1
0x2718272851C2e975218A490f97d26985C283b2F3,1,1
0x271828fBf19D1A9a1fBDdaBd4f2A71199e5D0Dd3,1,1
0x2718277f3F48cfec09d2857F0C68Bc3d9400E635,1,1
0x27182B0a808ba73C76A03c1b9BA0A3bF4eeE2dc8,1,1
0x27182bC9C3Ca89428e8929F19EFC011fE3BB6d1A,1,1
0x271822CE52F47D51218CAE30F81735dd20637764,1,1
0x271821082eD266CB119A2DeEF67754E825012bA0,1,1
0x27182c02B8D284e470e903F62a7a5B3AEfB924f5,1,1
0x2718233D5D0690ba1d4CE945CFB23341FE193765,1,1
0x27182a152ADaad89C40a85D3cb6FbD318ae6FB94,1,1
0x271821de4abd6a38B1b8243ab89EFB443CAb036F,1,1
0x2718256632A3bA354eD55B435DE908734B6086a9,1,1
0x271825d2b5001201D7239878d842126A36EfA0d9,1,1
0x27182352CB5518601E1980df6Fe9f74AfC74f3aA,1,1
0xAD1B113B5D3d958246C43475fFE80e1EA9F643f2,1,1
0xc33C7108f11751073357a8E435808af76D000B40,0,1
0x698076AE39e7E44bcd2bBe15F0486C8d44bb4E6f,0,1
0x52Add4435c81a4e0fB2eC494966863e48BF9302E,0,2
0x21148F81D302442c34D39cB65B82f5e7138F9bE6,0,5
0x2645Fe0AC0E7B56f7C0F3e679D9B4eF45EdC5dB3,0,2
0x3CE07ad298ee2b3aAbEA8c8b3F496C3ACc51e647,0,6
0x5176420DDB65181459b00F29e5068D3aAc6A93cC,0,1
0xd0A8Cb58efcee1CAeE48F3c357074862cA8210dc,0,4
0x62923bCDCCb042e56fD8E6e2d3f2E1a600900E96,0,1
0x7BF377f69Da0E46Da1502D5F2bcf9fB00c3B610b,0,4
0x3Dd12EB5aE0F1A106fB358C8B99830ab5690a7a2,0,5
0x8eD47843e5030b6F06e6F204Fcf2725378BB837a,0,4
0x983D0e1d23D3109D15e833fB800A51ba154DEfD3,0,2
0x250ABd1D4EBC8e70a4981677D5525f827660bDE4,0,4
0xe0Ed2A6CAd84df5191Fe337e7Dc9685d03bA3eD0,0,5
0x038820ec79EC76560922A1dA7726da12Cb19C397,0,1
0x46DE97Bb68D0b5B9a2687383e0cE47bB04f159c4,0,1
0x8ED072161E76C4C0103A91998aAF6A2034194a37,0,1
0x3E670e0d86747Ce3318d72D50aEAb6adA271F6D6,0,1
0xdc31aF0e0d9F32c29e727561B89f279AC47cF1D1,0,1
0x5842f5DCc9cC23C34F0D21C0e5C3979c3F1D0006,0,1
0xDceA02403276B0A852D76CF538D0105AFe4F058c,0,1
0xfC5D67bfD54F7a5823144e4b0880CeB3B35b5e8c,0,2
0x5797Ce6825e5e5a1acECd4F39fe3C4dd9F09bF92,0,1
0x598B03824572875aC108b72e2483333a2898619c,0,1
0xD63DCB05d70Be45A72aFCfD5119767A8Ebd70092,0,1
0x9Cac730aD4323BA90A1f82CAB65935613354e284,0,1
0xd589A2FA312F3EC2563cF783Aa84E70b14d400B3,0,1
0xc730B028dA66EBB14f20e67c68DD809FBC49890D,0,1
0xf7261bC5924C10C0411B7fBBA2106981589e8d08,0,2
0x1948d7CE4f278EaaB34659634Da5E38c0B8De8Ad,0,1
0x2501a14A4dEAc3361141a93afBB783efDea17755,0,1
0xB31D16A5Eb4026ea5514B73eb436F7238ee3A6f8,0,3
0xabFe2ec9bd68CC8BaB407972217621CEc86A2Feb,0,1
0xeed83601f932daB310e6B58D8f8ac3D7bF851e93,0,1
0x311dDa24B80376645A953284519d2b29B56aaE14,0,1
0x9Ec200cDe2c3b2a5e7834BBe6da35fA3228CD632,0,1
0xE83eEBdB6790257B57A6181d90f9Bf5c6be7ab27,0,1
0xeB9Bd50D2D2Ead030dcb016b28CC37D42b58441A,0,1
0xbe82F6163ae0017D1998EBeC9F5cb0456a70Cf04,0,2
0xE00B841251B8D8f0F78AB5Ccd541F3773b8389db,0,1
0x568d8060E8A0aB7602549de3d481A9623a3Fbb08,0,1
0x2e482c6517eF072162E12349efb4E2aa1bC0d2bB,0,1
0xffB2ca78E8e72411e82D8684Ac752846868D4F86,0,1
0x22bdc4AA7204f59d78d38d82729bE76CA4e6E4Df,0,1
0x75070BADe864Bf4fA4CCC491cB28f077c4473BFf,0,2
0x78Cabb5823a30E59521B3C7de3B41EF15f6466E2,0,1
0x7537cB7b7E8083ff8E68cb5c0cA18553Ab54946f,0,4
0x4073850F57e56523337Cad17176F9Cf44E384c3C,0,1
0xE6c27255Fbb9d3a9718Fb5E2DC313Cd6EbA10b78,0,3
0xa1ab1c841898Fe94900d00d9312ba954e4F81501,0,2
0x84A611B71254F5fCCb1E5a619aD723CAD8a03638,0,2
0x02979035A4250C1d9878D62a409F5FD041FF4D56,0,1
0x0D35615c42A05F3dA50656614F68444edBE61Dc5,0,1
0xB6907D407A9CAa0D057021730EdbbD3E22C7e83d,0,1
0x43c3358346ea3Be57C4b21D2a6c74a1Dcb373D52,0,1
0xA44eea8180Ac3F66E7dBeAb8D0a15cbF1c90B05f,0,1
0x9b34334142047Bf66ABF8d3592ACCA7fc2ebC9B5,0,1
0x010646c292d8170062e13492BC90b610Ac55A2B7,0,1
0x9c77233BBD235a3Ed219DAA051E0a3DE5cE03C3E,0,1
0x5e0648c0582b22dc8B2754c65Ea5f7DED7e0ecf9,0,1
0x499487f6BE895B71cF57881c22D5f6D855fCB8A2,0,1
0x138ECd2A1cD649125b00D8D79EED11881CAe9c9F,0,1
0x0082CaF47363bD42917947d81f4d4E0395257267,0,1
0x493cA089A77E9EC156F0c52bE753ecf5b95a9951,0,1
0xFeb2877E61fCc606025BCC7a72389642Bee9d922,0,1
0xa623A956211e62880A55695a979325F6Ec04FF7A,0,1
0x9381CAA558F19a821A2360C59FdF3dB60C09ff52,0,1
0xA5d9b96c6B4b26b7b3807f22B4DC279A467B67dC,0,1
0xE04Eb2C2B088d8F8fc57487983E57f84cC3E908F,0,1
0x160694f252B907CDf3862922950142a5f1Fd161a,0,1
0x158190DA5b0cB33A3AfC8103a4c304C86Cb8410c,0,26
0x8c12a4000f5e0cf4926ca31Ef68567af0f86a930,0,1
0x81Cd56850cFE46D738EAC3c0C7ac7b71fD20313D,0,1
0x9fFEFA8f15d1Fe732F38766b099ac8B212263ddb,0,1
0x2AE02e359EB7fd9f43499d028cF3e0f94CeC6b79,0,1
0xE856684b672247074dCb045835b3062b0fB1D6Cb,0,1
0x41f504740cA85F097682220eFFb8Dab3D068Fb5e,0,1
0xD9F2dDEB15938586A9BE58a593e49FB391156B40,0,1
0x6E685A45Db4d97BA160FA067cB81b40Dfed47245,0,1
0x6FF90C97e7351419bFb731c79D0e61A81eC27Ffa,0,1
0x4f3BD0c84003c7b23f0cb363804CfdF5db1d3cC0,0,1
0x029BF44E693CB7a962cf2E3a6acF45EAe2F3B9bE,0,1
0x8FbC48D6e8ADE33C5A2D3744715456749A8F7deC,0,1
0x619600d07E7dd9CfDFC4f9c1b3730F4b1137dFa5,0,1
0x02206509a713e003bD099fd12A2edFEF9Af84665,0,1
0x550365027554bD20D750f9361e460C7428ffBd75,0,2
0x082489A616aB4D46d1947eE3F912e080815b08DA,0,1
0x57b2543A92E366AbF23B813F31e658Bf20D1062c,0,1
0x7ba865F70E32C9f46f67E33FE06139c8C31a2fAd,0,2
0x86c609de1a96110AeB3eE4a781B9323Fb316eBc6,0,1
0xD1011b0de4C38AcbA38A15660E1842E12bEc6D07,0,1
0xaD0CB0a15cd66C7A2c1F4D638E6F973D84E2221D,0,1
0x98372cd1D460BC6da1a3838151Dc1a6f11d391bb,0,1
0x2e300C4463fb27B5ad83b01757634fe72638ce1b,0,1
0xFf57A465A862e377b0F4AB896eBBcc3df28d58Bf,0,1
0x423D9eDAb592B42Bf6fA66a532246fcBc09D4792,0,1
0x8Abd5385E6A857A71210D4348374585454d1ACe9,0,1
0x6C4eb1f1F72366eABadd0A4AB123a4513d0d0DC4,0,1
0x4f43e5Cc559150733D5F297A0239d0EEB8dC16eb,0,1
0x9BC6aF5583b5278f3c50eD238e5C0Fe8C126Eb36,0,1
0xf9d48aC9eC8F207AEF93518B51D2CdA61e596904,0,1
0x857a5766aF20930a993026Ad39c813030cC3c9Ce,0,1
0xB781C124FfEF9a7A379b58a28ccFa97249B7F1C7,0,1
0xbCAB1085AcA11e1A654709F589fd044acd250118,0,1
0x024c6Dec603A770414f3745deA9e589F47cD9572,0,1
0x55EF33F4Ee07ceE25468D919de76C1894A687a5e,0,1
0x40b66DdE9690B4De58fC1Ff3d1a4b57cB8276DFB,0,1
0xB619434697994ad52f4168616D0925CC584f4D28,0,1
0xAFb0c6b85828b5e2B2A514bb229365746D95fCe1,0,1
0x7579F8b41d8a7c94b2B3a3B20aDE7aA5E1a2c5cb,0,1
0x93A79ae91740c54B1221BDB2B44bE1CB5eB8fF52,0,1
0x3A9069Cfd1ce555404A82a9b8f734cb8fD19632B,0,1
0x9Fe7BbF13a39F694EB58bA076A0e0B21671794Fe,0,1
0x0e0889A8F18C1319B2f8e22AEc2F4Bbe8Fc422A0,0,1
